Date,Milk_Supply_Liters,Downtime_Hours,Milk_500ml_Demand,Milk_500ml_Inventory,Milk_1L_Demand,Milk_1L_Inventory,Butter_Demand,Butter_Inventory,Cheese_Demand,Cheese_Inventory,Yogurt_Demand,Yogurt_Inventory
01-01-2014,10025,0.4,2137,2677,1891,2256,2816,3386,3523,4055,3989,4738
02-01-2014,10276,0.05,2115,2641,2633,2962,2620,3242,3081,3253,3910,4205
03-01-2014,8487,2.82,1458,2052,2128,2266,3193,3449,2992,3441,4276,4602
04-01-2014,9260,0.59,1684,1827,2689,3319,2871,3480,3419,4252,4262,4811
05-01-2014,9549,1.71,1933,2479,2535,2893,3159,3667,3764,3961,4314,4959
06-01-2014,9618,4.42,2038,2703,2165,2466,2706,3249,3525,3991,4633,5285
07-01-2014,11537,1.25,1962,2254,2142,2626,3609,4275,3597,4216,4094,4911
08-01-2014,10669,0.76,2081,2736,2478,3040,2964,3601,3953,4556,4637,5129
09-01-2014,8666,0.47,1369,1908,3244,3630,2859,3128,3758,4552,4483,5095
10-01-2014,10295,4.08,2151,2501,2986,3819,3296,3733,3705,3927,4495,5223
11-01-2014,10597,1.72,2018,2320,2607,3365,2974,3843,3707,4402,4147,4464
12-01-2014,11368,1.64,1943,2223,2654,3111,3949,4278,3628,4266,4300,4793
13-01-2014,11896,0.83,2278,2514,2680,3237,3349,3826,3679,4278,4511,4905
14-01-2014,8781,2.8,1686,1941,2339,2498,2857,3336,3651,3826,3680,4389
15-01-2014,9026,1.88,1928,2393,2292,2902,3022,3585,3669,4461,3992,4745
16-01-2014,8490,0.5,2085,2701,2755,3293,3019,3804,4568,4929,4086,4537
17-01-2014,9719,1.37,1744,2692,2319,2412,2683,3108,3467,3569,4364,5000
18-01-2014,10559,0.84,1398,1919,2932,3344,3385,4203,2827,3259,4219,4743
19-01-2014,11184,0.01,1654,1830,2094,2276,2871,3457,3177,3509,4280,4794
20-01-2014,9908,2.47,1980,2645,2229,2888,2925,3442,3836,4322,4155,4603
21-01-2014,9616,0.2,1925,2489,2924,3153,3065,3530,3618,4126,4085,4799
22-01-2014,10182,1.07,1994,2599,2413,2576,2725,3357,3413,4125,3524,4258
23-01-2014,8997,0.61,1802,2378,2463,2750,3063,3650,3626,4245,3873,4538
24-01-2014,12507,0.63,1606,1973,2693,3147,2849,3110,3779,4302,4267,4770
25-01-2014,8070,0.97,2041,2653,2847,3306,2857,3122,3664,4084,4010,4644
26-01-2014,10221,8.73,1950,2572,2682,3001,2951,3719,3928,4390,3556,4292
27-01-2014,12428,0.79,2191,2478,2586,3068,2779,3602,4066,4406,3852,4572
28-01-2014,10008,0.3,1775,2317,2740,3078,2530,2473,3777,4108,4606,5173
29-01-2014,9771,1.43,1393,1886,2622,3145,3052,3457,3482,4048,3560,3844
30-01-2014,9571,0.4,1218,1838,2825,3448,2313,3014,3905,4394,3323,3765
31-01-2014,9783,0.17,1879,2857,3357,3855,2323,2586,3279,3784,4341,5157
01-02-2014,11647,0.08,2038,2507,2651,3092,3013,3575,3150,3672,3963,4230
02-02-2014,7345,0.03,1930,2700,2242,2725,2945,3555,3147,3808,4173,4950
03-02-2014,11840,0.85,1830,2087,2811,3113,3077,3653,3424,4036,4266,4741
04-02-2014,8291,0.83,1522,2091,2456,3109,3199,3663,3177,3781,3610,4041
05-02-2014,9680,0.31,1433,1960,2601,3073,2406,2827,3599,4055,4269,4290
06-02-2014,9484,2.3,2110,2626,2609,3368,2815,3225,3692,4005,3372,3936
07-02-2014,10706,0.21,1931,2181,2325,3193,2865,3609,4051,4220,4102,4747
08-02-2014,8082,3.7,1890,2706,2388,2574,3093,3680,3396,4122,4242,4580
09-02-2014,10554,1.33,1537,2169,1807,2415,3068,3403,3841,4447,4045,4269
10-02-2014,12429,0.04,1710,2212,2469,2887,2878,3312,3579,4016,3611,4263
11-02-2014,8364,4.94,2013,2384,2668,3195,3013,3513,3711,4060,3999,4662
12-02-2014,10227,0.55,2085,2664,2504,2973,2917,3409,4059,4870,4488,5183
13-02-2014,9205,0.9,1950,2637,2361,2600,2726,3179,3746,4364,4165,4650
14-02-2014,10511,0.5,2413,2858,2613,3222,3016,3501,3273,3786,3821,4490
15-02-2014,10022,1.96,1827,2330,2217,2569,2356,2892,3166,3783,3993,4556
16-02-2014,9230,1,2386,2937,2182,2960,3073,3752,3063,3575,4289,4793
17-02-2014,10585,0.21,2065,2361,2657,3088,3423,3670,2971,3123,4471,5296
18-02-2014,12165,0.17,2032,2211,2674,3198,2895,3430,3369,3855,3471,3817
19-02-2014,9770,1.94,2279,2624,2653,3246,3618,4139,3563,4083,4343,4788
20-02-2014,10863,0.41,1812,2108,2409,2990,3180,3934,3508,4295,4301,4839
21-02-2014,8448,0.22,1901,2425,2828,3432,3437,4054,3315,3869,3720,4070
22-02-2014,8852,1.04,1632,2333,2162,2779,3115,3814,2940,3372,4150,4792
23-02-2014,10566,2.44,2280,2790,2410,2858,3165,3791,3890,4214,3924,4613
24-02-2014,11780,0.49,2100,2447,2724,3131,3042,3460,3290,3957,3734,4311
25-02-2014,10426,0.49,2329,2675,2757,3380,2529,2992,3656,4390,3959,4461
26-02-2014,9624,2.69,2061,2481,2268,2771,2410,3021,3192,3534,3578,4282
27-02-2014,9999,0.24,2330,3108,3142,3481,2927,3746,3013,3452,4023,4653
28-02-2014,8499,1.44,1775,2057,2460,2952,2819,3433,3360,3886,3862,4567
01-03-2014,10725,4.65,2296,2795,2526,2738,2828,3410,3668,3806,3919,4360
02-03-2014,11058,2.76,1880,2288,2793,3244,2620,3384,2992,3836,3907,4705
03-03-2014,9457,0.1,2000,2560,2965,3412,3332,3916,3405,3938,3946,4744
04-03-2014,9435,0.58,2218,2630,2518,2998,2690,2779,3463,4247,3779,4295
05-03-2014,10319,0.23,2698,3197,2851,3343,2671,2874,3373,3958,3239,3560
06-03-2014,9475,4.47,2246,2435,2363,2991,3011,3309,3125,3242,4587,4919
07-03-2014,9920,6.4,2274,2500,3000,3748,3325,3745,3455,3831,4518,5044
08-03-2014,12519,0.4,1836,2286,2511,2899,3254,3993,3289,3699,4219,4550
09-03-2014,9703,1.66,2047,2460,2594,2962,2805,3730,3063,3442,3882,4193
10-03-2014,9569,2.76,1971,2446,2395,2902,2936,3504,3852,4357,4235,4586
11-03-2014,9222,0.4,2422,2914,2564,2856,3492,4035,3794,4269,3475,4402
12-03-2014,10893,0.31,1956,2577,2280,3127,3331,3698,3308,3781,4277,4793
13-03-2014,9782,0.02,2398,2770,2481,2976,3263,3820,3321,3613,3842,4366
14-03-2014,9220,0.8,1609,1938,2505,2819,3115,3902,3470,3998,3601,4226
15-03-2014,11585,3.45,2419,3223,2183,2536,3030,3385,3755,4475,4348,4590
16-03-2014,11703,3.5,1741,2414,2328,2664,3602,4044,3894,4163,4152,4500
17-03-2014,9279,0.21,2256,2826,1870,2538,3338,3329,3059,3641,3854,4360
18-03-2014,7760,0.34,1740,2247,2127,2659,3036,3717,3785,4163,3985,4574
19-03-2014,11209,0.79,2185,3016,2495,3385,3216,3593,3535,4021,3721,4024
20-03-2014,9178,2.28,1711,2197,2787,2600,2925,3205,3448,4122,4156,4779
21-03-2014,10948,1.42,2310,2936,2392,3122,2518,2705,3138,3641,4142,4621
22-03-2014,7635,1.08,2253,2933,2490,2500,2693,3103,3452,4059,4111,4743
23-03-2014,11071,1.34,1819,2638,2848,3146,2861,3554,3463,3674,3355,4042
24-03-2014,8546,0.15,2173,2958,2749,3212,2842,3548,3395,3926,4071,4713
25-03-2014,10876,0.97,2284,2641,2745,3075,2783,3249,3448,3864,3663,4485
26-03-2014,10017,7.25,1723,2207,2535,2875,2796,2978,3821,4454,4268,4796
27-03-2014,8855,0.14,1689,2131,2352,2985,3391,3860,3593,4115,3980,4506
28-03-2014,9511,1.1,1678,1996,2618,3352,3549,4255,3788,4462,4656,4985
29-03-2014,10823,0.53,1636,2080,2884,3545,3393,3477,3071,3482,3832,4542
30-03-2014,10127,1.16,1677,1908,3042,3592,2352,2914,3393,4138,3578,3914
31-03-2014,10701,1.28,2277,2802,3221,3733,3323,3957,3350,3669,3745,4190
01-04-2014,12371,1.29,2167,2121,2958,3096,3220,3997,3670,4190,4003,4615
02-04-2014,8122,2.87,1491,2109,2513,2896,2988,3672,3571,4286,3673,4180
03-04-2014,11940,0.74,1846,2125,2139,2431,2850,3614,3729,4186,3284,3832
04-04-2014,10125,1.09,1652,1917,2680,3399,2908,3305,3981,4622,4191,4784
05-04-2014,8921,0.02,2258,2919,2828,3550,3296,3998,3568,4283,4622,5156
06-04-2014,8403,2.34,1865,2326,1734,2030,3115,3266,3489,4087,4416,4919
07-04-2014,9773,0.45,1536,1956,2056,2224,3365,3803,3422,4054,3892,4494
08-04-2014,11105,2.54,2051,2355,2362,3237,3244,4153,2976,3313,3827,4580
09-04-2014,9846,0.46,2181,2530,2269,3220,3432,3980,3124,3634,3984,4449
10-04-2014,11813,0.02,1713,2454,2017,2285,3190,3511,3013,3495,4342,4653
11-04-2014,8258,0.25,1920,2468,2614,2832,2658,3621,3338,3716,3826,4458
12-04-2014,9985,6.37,1729,2368,2872,3261,2519,3103,3382,3857,3938,4614
13-04-2014,8497,0.58,2373,2571,2443,3041,3193,3927,4018,4569,4672,5195
14-04-2014,10436,0.17,1870,2654,2001,2654,3180,3627,3530,4250,4041,4568
15-04-2014,11064,0.19,1783,2194,2561,2838,2814,3045,3545,4218,4426,4673
16-04-2014,9495,0.56,1984,2243,2167,2994,3074,3545,3274,4083,4097,4857
17-04-2014,6874,0.06,1937,2347,2197,2549,2863,3463,3457,3909,3985,4340
